text,label
"Dear team, please keep the upcoming merger plans strictly confidential. Our strategy is to acquire TargetCorp by Q4.",sensitive
"Hey John, just following up on our meeting tomorrow. Let’s catch up and discuss the agenda.",not_sensitive
Client Social Security Number: 9XX-XX-XXXX. Please process the application.,sensitive
What time is the team lunch scheduled for today?,not_sensitive
Attached are the Q3 financial results. Revenue increased by 15%. Do not distribute outside the finance dept.,sensitive
Can someone please send me the link to the public company website?,not_sensitive
The patient's diagnosis is confidential: Mr. Smith suffers from Condition Y. File PHI securely.,sensitive
Remember to submit your timesheets by the end of the day.,not_sensitive
Project Alpha Update: Source code for the new module is attached. Access restricted to dev team.,sensitive
"Happy Birthday, Sarah! Hope you have a great day.",not_sensitive
URGENT: Security breach detected on server Prod-01. Credentials may be compromised. Initiate incident response plan.,sensitive
Does anyone have a spare phone charger I could borrow?,not_sensitive
The new marketing campaign strategy involves targeting demographic X with message Y. Keep this internal.,sensitive
"I'm running late for the meeting, should be there in 10 minutes.",not_sensitive
"Employee Bank Account Details for Payroll: Account # [REDACTED], Routing # [REDACTED].",sensitive
Let's discuss the presentation slides later this afternoon.,not_sensitive
Password for the shared drive is 'NewP@ssw0rd2024!'. Please change it after first login.,sensitive
Where can I find the latest HR policy documents?,not_sensitive
"Attorney-Client Privileged: Regarding the Johnson lawsuit, legal advises settling for $250,000.",sensitive
The weather forecast looks great for the weekend.,not_sensitive
"Customer Credit Card Number: 4XXX-XXXX-XXXX-XXXX, Exp: MM/YY, CVV: XXX.",sensitive
Please approve my vacation request for next week.,not_sensitive
Internal memo: Layoffs planned for Division B next month. Details to follow. Strict confidence required.,sensitive
Could you please review the draft blog post before we publish it?,not_sensitive
Driver's License Number: D L XXXXXXXX. Required for verification.,sensitive
"Team, let's brainstorm ideas for the upcoming social event.",not_sensitive
Trade Secret: The formula for Product Z is C12H22O11 combined with proprietary catalyst Alpha.,sensitive
Reminder: Mandatory compliance training due by Friday.,not_sensitive
Passport Number: PXXXXXXXXX. Needed for international travel booking.,sensitive
Good job on closing the deal with Acme Corp!,not_sensitive
Financial Projections for FY2025 show a potential 10% loss. For internal discussion only.,sensitive
Can we reschedule our 1:1 meeting to tomorrow?,not_sensitive
Patient Medical Record #: MRN789012. Admission date: YYYY-MM-DD.,sensitive
"I'll be out of office tomorrow, returning on Wednesday.",not_sensitive
The encryption key for the database backup is stored in the vault. Access requires dual authorization.,sensitive
Let's grab coffee sometime this week.,not_sensitive
"Confidential: User credentials compromised. Username: admin_user, Potential Password: [REDACTED]. Reset immediately.",sensitive
What's the WiFi password for the guest network?,not_sensitive
New Product Launch Plan - Codename 'Phoenix'. Target release date Q1. Highly Confidential.,sensitive
Has anyone seen the office stapler?,not_sensitive
"Sensitive Customer List attached. Contains names, emails, and purchase history.",sensitive
Please find the meeting minutes from yesterday's call attached.,not_sensitive
"Salary information for Jane Doe: $XXX,XXX per annum. Confidential HR data.",sensitive
Let's sync up on the project status next Monday.,not_sensitive
Security vulnerability identified in application v2.1. CVSS Score: 9.8. Patch immediately.,sensitive
Can you recommend a good place for lunch nearby?,not_sensitive
The proprietary algorithm for our recommendation engine is detailed in the attached document.,sensitive
I need help setting up my printer.,not_sensitive
Internal Audit Report: Found significant non-compliance in department X. Remediation required.,sensitive
"Welcome to the team, Mark! We're excited to have you.",not_sensitive
"M&A Target List: Potential acquisition companies include Org A, Org B, Org C. Eyes Only.",sensitive
Could you share the presentation template?,not_sensitive
Employee performance review notes for John Smith. Contains sensitive feedback.,sensitive
Reminder: Office potluck tomorrow!,not_sensitive
Network diagram for the secure zone attached. Restricted access.,sensitive
What are the company holidays for this year?,not_sensitive
Patent application draft for Invention X. Highly confidential IP.,sensitive
Let's review the project timeline.,not_sensitive
List of customers affected by the data breach. Notification required.,sensitive
Can someone cover the front desk during lunch?,not_sensitive
API Key for accessing internal service: XXXXXXXXXXXXXXXXXXXXXXXX. Keep secure.,sensitive
Where is the water cooler located?,not_sensitive
Strategic Partnership details with Company Y. Confidential terms.,sensitive
Please update your contact information in the employee directory.,not_sensitive
"Client investment portfolio details: Holdings in ABC, XYZ. Value: $XXX,XXX.",sensitive
Team meeting agenda: 1. Project Updates 2. Q&A.,not_sensitive
Root cause analysis report for the recent system outage. Contains sensitive infrastructure details.,sensitive
How do I request technical support?,not_sensitive
User password reset link: [Unique URL]. Expires in 1 hour.,sensitive
Did anyone watch the game last night?,not_sensitive
Insurance Policy Number: POL-XXXXXXXXX. Coverage details enclosed.,sensitive
Let's collaborate on the document shared earlier.,not_sensitive
Business Continuity Plan: Activation triggers and procedures. Confidential.,sensitive
Happy work anniversary!,not_sensitive
Genetic test results for Patient ID 12345. Highly sensitive PHI.,sensitive
Can you forward me the email about the new software update?,not_sensitive
Supplier contract negotiations: Proposed price point $X. Confidential.,sensitive
See you at the company all-hands meeting.,not_sensitive
Social Security Numbers list for new hires processing. Secure handling required.,sensitive
What is the status of task #567?,not_sensitive
Confidential settlement agreement terms attached. Do not disclose.,sensitive
Please water the plants while I'm away.,not_sensitive
Access codes for Building Section C: XXXX#. Restricted entry.,sensitive
Let's schedule a follow-up call.,not_sensitive
Customer complaint details regarding product defect. Includes PII.,sensitive
Remember to lock your computer when you step away.,not_sensitive
Financial audit findings - significant discrepancies noted. Management review required.,sensitive
Is the coffee machine working?,not_sensitive
User authentication logs showing failed login attempts. Potential brute force attack.,sensitive
Project roadmap discussion notes.,not_sensitive
Employee disciplinary action record for Employee ID 9876. Confidential HR matter.,sensitive
Thanks for sharing the notes from the meeting.,not_sensitive
Credit report for applicant John Doe attached. Contains sensitive financial data.,sensitive
Let me know if you need anything else.,not_sensitive
Security assessment report highlighting critical vulnerabilities. Restricted distribution.,sensitive
Can you proofread this email before I send it?,not_sensitive
Database schema for the customer database attached. Contains sensitive table structures.,sensitive
Just checking in to see how your week is going.,not_sensitive
Internal investigation report regarding employee misconduct. Highly sensitive.,sensitive
"Okay, sounds good. Talk later.",not_sensitive
"Explain this Python code: `api_key = 'sk_test_XXXXXXXXXXXXXXXXXXXX'` \n `requests.get('https://api.example.com/data', headers={'Authorization': f'Bearer {api_key}'})`",sensitive
How do I sort a list of numbers in JavaScript?,not_sensitive
"Debug this snippet, I keep getting an auth error: `const config = { user: 'admin_db', password: 'MyP@ssw0rd!123', server: 'internal.sql.server.local', database: 'CustomerData_Prod' };`",sensitive
What are the best practices for writing clean code?,not_sensitive
"Generate a Terraform configuration to deploy a VM. Use this service principal: `client_id='xxxx', client_secret='yyyy', tenant_id='zzzz'`",sensitive
Can you write a short poem about the ocean?,not_sensitive
"Here's my service account key JSON, how do I use it with the gcloud SDK? `{ ""type"": ""service_account"", ""project_id"": ""my-project-123"", ""private_key_id"": ""abcdef123456"", ""private_key"": ""-----BEGIN PRIVATE KEY-----\\nMIIEvA\\n-----END PRIVATE KEY-----\\n"", ""client_email"": ""dev-sa@my-project-123.iam.gserviceaccount.com"", ""client_id"": ""1234567890"", ... }`",sensitive
"Explain the difference between `let`, `const`, and `var` in JavaScript.",not_sensitive
Refactor this legacy code. It connects to our internal inventory system: `dsn = 'odbc:Driver={SQL Server};Server=INVDB_PRD_01;Database=Inventory;Uid=app_user;Pwd=Inv3ntoryAcc3ss;'`,sensitive
